Training configuration: Namespace(seed=47, batch_size=128, lr=0.0005, weight_decay=0.0001, nhid=128, pooling_ratio=0.5, dropout_ratio=0.5, dataset='NCI1', epochs=100000, patience=50, pooling_layer_type='GCNConv', ablation=1, device='cuda:0', num_classes=2, num_features=38)
Epoch 0: Validation loss: 0.6922322062100227	accuracy: 0.5206812652068127
Epoch 70: Validation loss: 0.535917226415481	accuracy: 0.7420924574209246
Epoch 71: Validation loss: 0.5634567929010321	accuracy: 0.7031630170316302
Epoch 72: Validation loss: 0.5310658062751565	accuracy: 0.7274939172749392
Epoch 73: Validation loss: 0.539881980042098	accuracy: 0.7274939172749392
Epoch 74: Validation loss: 0.5278241860605505	accuracy: 0.7591240875912408
Epoch 75: Validation loss: 0.5304269303370567	accuracy: 0.732360097323601
Epoch 76: Validation loss: 0.5502102148793909	accuracy: 0.732360097323601
Epoch 77: Validation loss: 0.5292727222117775	accuracy: 0.7591240875912408
Epoch 78: Validation loss: 0.5204934609777446	accuracy: 0.7518248175182481
Epoch 79: Validation loss: 0.5307090578288057	accuracy: 0.7518248175182481
Epoch 80: Validation loss: 0.5250338765536492	accuracy: 0.7566909975669099
